LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION
Usher Gallery   London,51.542803,-0.007303,The Gallery   E20,Bing Maps,street
Victoria and Albert Museum   London,51.49691010,-0.17206000,Victoria and Albert Museum   United Kingdom,Bing Maps,PointOfInterest
Victoria and Albert Museum   London,51.4969101,-0.17206,Victoria and Albert Museum   United Kingdom,Bing Maps,PointOfInterest
Victoria Art Gallery   Bath,51.3850288,-2.36132,Bath   Bath and North East Somerset   United Kingdom,Bing Maps,city/town
Villa Poggio Imperiale   Arcetri   Florence,43.74586870,11.25294020,Arcetri   Tosc.   Italy,Bing Maps,city/town
Virginia Museum of Fine Arts   Richmond,37.555706,-77.4749451,Virginia Museum of Fine Arts   VA,Bing Maps,PointOfInterest
Von der Heydt-Museum   Wuppertal,51.2573013,7.1465802,Von Der Heydt Museum   NW   Germany,Bing Maps,Museum
Vychodoslovenské Galéria   Kosice,48.7166595,21.2533207,Košice   Slovakia,Bing Maps,city/town
Wadsworth Atheneum   Hartford,41.76346970,-72.67322540,Wadsworth Atheneum   CT,Bing Maps,PointOfInterest
Walker Art Gallery   Liverpool,53.4100914,-2.97843,Liverpool   Merseyside   United Kingdom,Bing Maps,city/town
Wallace Collection   London,51.5170708,-0.15283,Wallace Collection   United Kingdom,Bing Maps,PointOfInterest
Wallraf-Richartz-Museum   Cologne,50.9376488,6.957952,Wallraf Richartz Museum   NW   Germany,Bing Maps,Unknown
Walters Art Museum   Baltimore,39.2965775,-76.6161423,The Walters Art Museum   MD,Bing Maps,PointOfInterest
Wellington Museum   Apsley House   London,51.5064201,-0.12721,London   London   United Kingdom,Bing Maps,city/town
Westfälisches Landesmuseum   Münster,51.9630089,7.6178098,Münster   NW   Germany,Bing Maps,city/town
Whitney Museum of American Art   New York,40.7733955,-73.963829,Whitney Museum of American Art   NY,Bing Maps,LandmarkBuilding
Whitworth Art Gallery   Manchester,53.4605179,-2.2283421,Whitworth Art Gallery   United Kingdom,Bing Maps,PointOfInterest
Williams College Museum of Art   Williamstown,42.7138405,-73.2033463,Williams College   MA,Bing Maps,HigherEducationFacility
Woodmere Art Museum   Philadelphia,39.9672508,-75.1704712,Fairmount   PA,Bing Maps,Neighborhood
Worchester Art Museum   Worchester,42.2731056,-71.8020172,Worcester Art Museum   MA,Bing Maps,PointOfInterest
Yale Center for British Art   New Haven,41.3079185,-72.9305725,Yale Center for British Art   CT,Bing Maps,LandmarkBuilding
Yale University Art Gallery   New Haven,41.3083687,-72.9306183,Yale University Art Gallery   CT,Bing Maps,PointOfInterest
Zichy Museum   Zala,46.6871414,16.8945789,Zala,Bing Maps,state/province
